"Long","Lat","Stn_Name","Clim_ID","Prov_or_Ter","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD"
"-113.165","53.262","NEW SAREPTA AGCM","3014795","AB","-2.9","12","NA","7.9","12","-15.3","12","","","NA","7.3","12","NA","","2","","","NA","397.0","0.0"
"-113.350","53.650","OLIVER AGDM","3014921","AB","-3.4","12","NA","9.4","12","-17.9","12","","","NA","5.2","12","NA","","1","","","NA","405.9","0.0"
"-112.879","53.995","RADWAY AGCM","3015346","AB","-4.9","12","NA","6.2","12","-17.3","12","","","NA","","","NA","","","","","NA","435.7","0.0"
"-111.726","53.425","RANFURLY AUTO","3015401","AB","-4.4","0","NA","4.3","0","-16.0","0","","","NA","7.3","0","NA","2.0","1","","","NA","693.3","0.0"
"-110.343","52.587","RIBSTONE SOUTH AGCM","3015480","AB","-3.2","12","NA","6.8","12","-18.2","12","","","NA","7.1","12","NA","","1","","","NA","403.5","0.0"
"-110.102","53.019","RIVERCOURSE AGCM","3015501","AB","-3.7","12","NA","5.7","12","-15.9","12","","","NA","5.3","12","NA","","1","","","NA","411.6","0.0"
"-114.912","52.421","ROCKY MTN HOUSE (AUT)","3015523","AB","-4.5","0","NA","10.5","0","-20.4","0","","","NA","14.1","0","NA","9.0","5","","","NA","696.3","0.0"
"-112.422","52.792","ROSALIND AGCM","3015600","AB","-2.6","16","NA","6.9","16","-12.6","16","","","NA","6.8","16","NA","","1","","","NA","309.4","0.0"
"-111.453","54.282","ST. LINA AGCM","3015673","AB","-4.1","12","NA","7.6","12","-15.7","12","","","NA","0.9","19","NA","","0","","","NA","419.6","0.0"
"-111.272","54.011","ST. PAUL AGCM","3015676","AB","-5.4","12","NA","5.9","12","-18.3","12","","","NA","2.3","12","NA","","1","","","NA","445.3","0.0"
"-110.755","51.590","SEDALIA AGCM","3015797","AB","-1.7","12","NA","11.0","12","-16.9","12","","","NA","2.5","12","NA","","1","","","NA","373.6","0.0"
"-112.539","53.333","SHONTS AGCM","3015900","AB","-4.3","12","NA","8.7","12","-17.4","12","","","NA","9.3","12","NA","","2","","","NA","423.2","0.0"
"-112.499","54.278","SMOKY LAKE AGDM","3016022","AB","-4.2","12","NA","5.5","12","-15.4","12","","","NA","0.5","12","NA","","0","","","NA","420.9","0.0"
"-111.683","51.816","SPONDIN AGCM","3016070","AB","-2.8","12","NA","11.1","12","-18.0","12","","","NA","3.1","16","NA","","2","","","NA","396.0","0.0"
"-112.596","52.347","STETTLER AGDM","3016124","AB","-2.2","12","NA","9.1","12","-14.8","12","","","NA","9.4","13","NA","","3","","","NA","383.1","0.0"
"-113.895","53.217","THORSBY AGCM","3016441","AB","-1.5","12","NA","13.8","12","-16.0","12","","","NA","2.5","12","NA","","1","","","NA","371.2","0.0"
"-114.718","53.439","TOMAHAWK AGDM","3016505","AB","-1.7","13","NA","11.0","13","-16.4","13","","","NA","0.5","13","NA","","0","","","NA","354.5","0.0"
"-110.081","53.664","TULLIBY LAKE AGCM","3016593","AB","-5.8","12","NA","5.3","12","-19.4","12","","","NA","0.4","12","NA","","0","","","NA","451.8","0.0"
"-113.033","53.500","UNCAS","3016650","AB","","","NA","","","","","8.0","0","NA","10.2","0","NA","1.0","3","","","NA","",""
"-111.678","53.625","TWO HILLS AGDM","3016655","AB","-3.5","14","NA","6.8","14","-14.9","14","","","NA","5.1","14","NA","","1","","","NA","365.6","0.0"
"-110.882","53.344","VERMILION AGDM","3016802","AB","-4.3","12","NA","5.1","12","-17.6","12","","","NA","4.4","13","NA","","1","","","NA","423.3","0.0"
"-111.732","53.182","VIKING AGCM","3016841","AB","-3.2","12","NA","6.7","12","-15.2","12","","","NA","5.3","12","NA","","2","","","NA","402.3","0.0"
"-112.098","53.505","VEGREVILLE","3016GF0","AB","-5.6","0","6.2","5.2","0","-18.2","0","","","NA","7.7","0","62.0","1.0","1","","","NA","731.3","0.0"
"-113.444","52.980","WETASKIWIN AGCM","3017282","AB","-2.5","12","NA","9.1","12","-15.9","12","","","NA","7.1","15","NA","","2","","","NA","388.7","0.0"
"-111.224","51.491","YOUNGSTOWN AGCM","3017705","AB","-1.5","12","NA","10.3","12","-14.2","12","","","NA","2.8","12","NA","","2","","","NA","370.1","0.0"
"-114.108","53.547","EDMONTON STONY PLAIN CS","301A001","AB","-1.3","0","NA","11.0","0","-13.2","0","","","NA","1.0","0","NA","","0","","","NA","598.0","0.0"
"-110.206","51.670","ESTHER 1","301B460","AB","-2.4","0","NA","12.1","0","-17.3","0","","","NA","4.3","0","NA","0.0","2","","","NA","633.0","0.0"
"-111.096","52.829","WAINWRIGHT CFB AIRFIELD 21","301S001","AB","-3.5","0","NA","6.4","0","-17.9","0","","","NA","5.0","0","NA","4.0","1","","","NA","667.2","0.0"
"-113.821","54.308","PIBROCH AGCM","301X001","AB","-6.0","12","NA","4.4","12","-20.1","12","","","NA","0.8","12","NA","","0","","","NA","456.6","0.0"
"-113.099","53.843","REDWATER INDUSTRIAL AGCM","301X002","AB","-2.5","12","NA","8.0","12","-16.5","12","","","NA","4.0","12","NA","","1","","","NA","390.4","0.0"
"-110.025","53.358","LLOYDMINSTER LITE","301X003","AB","-4.4","12","NA","6.3","12","-19.3","12","","","NA","2.3","12","NA","","1","","","NA","425.0","0.0"
"-110.317","51.066","ACADIA VALLEY","3020035","AB","-0.6","12","NA","14.5","12","-13.5","12","","","NA","0.4","12","NA","","0","","","NA","352.5","0.0"
"-111.006","50.810","ATLEE AGCM","3020405","AB","0.2","12","NA","15.1","12","-14.5","12","","","NA","0.8","12","NA","","0","","","NA","339.1","0.0"
"-113.357","51.379","BEISEKER AGCM","3020610","AB","-1.7","12","NA","10.8","12","-16.9","12","","","NA","8.4","12","NA","","2","","","NA","375.2","0.0"
"-112.803","51.998","BIG VALLEY AGCM","3020679","AB","-2.5","12","NA","8.7","12","-16.3","12","","","NA","6.3","27","NA","","2","","","NA","388.9","0.0"
"-110.686","50.798","BUFFALO AGCM","3020950","AB","0.2","12","NA","16.3","12","-15.0","12","","","NA","1.2","12","NA","","1","","","NA","337.9","0.0"
"-111.221","51.024","CABIN LAKE AGCM","3021000","AB","-1.6","12","NA","13.9","12","-17.1","12","","","NA","","","NA","","","","","NA","372.4","0.0"
"-110.797","51.067","CAPPON","3021200","AB","-1.7","12","NA","13.2","12","-17.7","12","","","NA","2.2","12","NA","","1","","","NA","374.0","0.0"
"-110.824","51.276","CEREAL AGCM","3021463","AB","-1.4","12","NA","12.1","12","-16.4","12","","","NA","3.4","12","NA","","2","","","NA","368.2","0.0"
"-112.252","51.775","CRAIGMYLE AGCM","3021912","AB","-2.5","12","NA","10.2","12","-15.6","12","","","NA","4.8","12","NA","","2","","","NA","388.8","0.0"
"-112.677","51.445","DRUMHELLER EAST","30221LG","AB","-4.0","0","NA","9.8","0","-16.8","0","","","NA","8.2","0","NA","2.0","2","","","NA","680.7","0.0"
"-112.097","51.053","FINNEGAN AGCM","3022650","AB","-2.2","12","NA","14.5","12","-16.5","12","","","NA","1.2","26","NA","","0","","","NA","383.5","0.0"
"-112.135","51.453","HAND HILLS AGCM","3022990","AB","-1.3","12","NA","10.4","12","-13.8","12","","","NA","7.0","12","NA","","3","","","NA","366.9","0.0"
"-114.486","52.310","HESPERO AGCM","3023200","AB","-3.9","13","NA","10.2","13","-19.1","13","","","NA","9.2","13","NA","","4","","","NA","394.0","0.0"
"-112.500","51.183","HUSSAR AGDM","3023402","AB","-0.2","12","NA","13.5","12","-11.6","12","","","NA","3.5","12","NA","","2","","","NA","345.5","0.0"
"-110.359","51.913","KIRRIEMUIR AGCM","3023660","AB","-2.6","12","NA","9.4","12","-18.6","12","","","NA","5.4","12","NA","","2","","","NA","391.6","0.0"
"-113.756","52.449","LACOMBE CDA 2","3023722","AB","-3.5","0","NA","9.1","0","-16.2","0","","","NA","11.5","0","NA","0.0","3","","","NA","667.2","0.0"
"-114.473","52.553","LEEDALE AGDM","3023740","AB","-5.0","12","NA","9.2","12","-20.3","12","","","NA","8.9","26","NA","","2","","","NA","436.2","0.0"
"-113.656","51.619","LINDEN AGCM","3023850","AB","-2.1","12","NA","14.5","12","-18.5","12","","","NA","9.1","12","NA","","3","","","NA","382.1","0.0"
"-110.341","49.458","LODGE CREEK","3023900","AB","-0.9","12","NA","15.4","12","-15.1","12","","","NA","2.2","12","NA","","1","","","NA","359.2","0.0"
"-112.675","51.660","MORRIN AGDM","3024668","AB","-3.2","12","NA","8.4","12","-17.5","12","","","NA","8.7","12","NA","","1","","","NA","403.3","0.0"
"-114.085","51.759","OLDS AGDM","3024925","AB","-0.5","12","NA","13.3","12","-15.5","12","","","NA","13.6","13","NA","","4","","","NA","351.1","0.0"
"-110.350","51.383","OYEN AGDM","3024965","AB","-1.0","12","NA","11.5","12","-13.9","12","","","NA","2.0","13","NA","","1","","","NA","360.7","0.0"
"-111.621","50.740","PATRICIA AGCM","3025013","AB","-0.1","12","NA","15.8","12","-13.1","12","","","NA","0.9","12","NA","","0","","","NA","343.6","0.0"
"-111.705","51.125","POLLOCKVILLE AGDM","3025243","AB","-2.7","12","NA","13.4","12","-19.0","12","","","NA","2.3","12","NA","","1","","","NA","393.1","0.0"
"-113.600","52.433","PRENTISS","3025297","AB","-1.5","0","NA","11.1","0","-14.2","0","","","NA","9.4","0","NA","","4","","","NA","604.0","0.0"
"-113.894","52.182","RED DEER REGIONAL A","3025484","AB","-4.5","2","NA","9.0","2","-18.2","2","","","NA","11.3","2","NA","","3","","","NA","653.5","0.0"
"-113.620","53.692","ST. ALBERT RESEARCH STATION","3025750","AB","-3.2","0","NA","9.9","0","-17.1","0","","","NA","2.5","0","NA","","1","","","NA","657.4","0.0"
"-110.091","50.307","SCHULER AGDM","3025768","AB","0.6","12","NA","15.2","12","-14.2","12","","","NA","1.9","12","NA","","1","","","NA","329.9","0.0"
"-111.646","51.463","SHEERNESS AGCM","3025890","AB","-1.2","12","NA","10.9","12","-13.0","12","","","NA","3.3","12","NA","","1","","","NA","364.0","0.0"
"-111.388","51.301","SUNNYNOOK AGCM","3026264","AB","-2.8","13","NA","10.4","13","-19.3","13","","","NA","4.3","13","NA","","1","","","NA","375.0","0.0"
"-113.206","51.768","THREE HILLS","3026479","AB","-3.9","12","NA","13.7","12","-20.1","12","","","NA","7.6","12","NA","","2","","","NA","416.4","0.0"
"-111.955","50.895","VERGER","3026800","AB","-1.9","13","NA","16.2","13","-16.5","13","","","NA","0.4","14","NA","","0","","","NA","359.0","0.0"
"-114.683","51.778","SUNDRE A","3026KNQ","AB","-3.9","0","NA","15.5","0","-21.7","0","","","NA","15.3","0","NA","9.0","5","","","NA","678.9","0.0"
"-113.591","51.936","WIMBORNE AGCM","3027582","AB","-2.3","12","NA","9.7","12","-17.4","12","","","NA","11.2","12","NA","","3","","","NA","385.3","0.0"
"-113.434","49.528","ARDENVILLE","3030200","AB","2.9","12","NA","15.1","12","-9.1","12","","","NA","5.6","14","NA","","1","","","NA","287.4","0.0"
"-114.013","50.512","AZURE","3030450","AB","1.7","12","NA","15.7","12","-12.2","12","","","NA","11.1","17","NA","","3","","","NA","310.4","0.0"
"-112.300","49.800","BARNWELL AGDM","3030525","AB","2.3","12","NA","16.3","12","-10.2","12","","","NA","7.3","12","NA","","2","","","NA","297.7","0.0"
"-113.224","50.026","BARONS AGCM","3030529","AB","1.6","12","NA","17.0","12","-13.6","12","","","NA","6.2","13","NA","","2","","","NA","311.2","0.0"
"-112.465","50.893","BASSANO AGCM","3030540","AB","-1.5","12","NA","15.6","12","-14.6","12","","","NA","2.8","12","NA","","1","","","NA","369.7","0.0"
"-114.152","50.707","BLACK DIAMOND","3030680","AB","-0.7","12","NA","17.0","12","-14.0","12","","","NA","11.7","14","NA","","2","","","NA","355.6","0.0"
"-113.640","50.546","BLACKIE AGCM","3030690","AB","-0.5","12","NA","16.8","12","-16.1","12","","","NA","12.3","13","NA","","3","","","NA","351.1","0.0"
"-113.050","49.567","BLOOD TRIBE AGDM","3030720","AB","2.3","12","NA","16.2","12","-10.4","12","","","NA","4.5","12","NA","","1","","","NA","298.7","0.0"
"-111.450","49.734","BOW ISLAND","3030768","AB","1.6","0","NA","18.6","0","-11.3","0","","","NA","5.3","0","NA","","1","","","NA","507.8","0.0"
"-113.817","49.617","BROCKET AGDM","3030830","AB","2.8","12","NA","13.2","12","-11.7","12","","","NA","8.4","12","NA","","2","","","NA","289.6","0.0"
"-110.484","50.339","BULL SPRINGS AGCM","3030879","AB","1.3","12","NA","15.4","12","-11.6","12","","","NA","1.5","14","NA","","1","","","NA","317.2","0.0"
"-111.849","50.555","BROOKS","3030QLP","AB","-1.2","0","NA","16.3","0","-15.7","0","","","NA","3.8","0","NA","","1","","","NA","595.6","0.0"
"-114.013","51.123","CALGARY INTL A","3031092","AB","0.5","0","NA","17.0","0","-13.8","0","21.0","0","NA","21.1","0","NA","","4","","","NA","542.2","0.0"
"-114.000","51.109","CALGARY INT'L CS","3031094","AB","0.1","0","NA","16.9","0","-14.5","0","","","NA","13.9","0","NA","","5","","","NA","554.5","0.0"
"-114.371","51.105","CALGARY SPRINGBANK A","3031109","AB","-1.7","0","NA","16.1","0","-19.0","0","","","NA","5.5","0","NA","","3","","","NA","609.9","0.0"
"-113.286","49.201","CARDSTON","3031322","AB","2.1","0","NA","15.7","0","-15.4","0","","","NA","7.2","0","NA","","2","","","NA","491.6","0.0"
"-113.376","49.001","CARWAY","3031402","AB","1.3","3","NA","14.5","3","-17.6","3","","","NA","11.9","3","NA","","3","","","NA","466.6","0.0"
"-113.350","50.282","CHAMPION AGDM","3031480","AB","0.2","12","NA","15.8","12","-13.4","12","","","NA","11.6","12","NA","","3","","","NA","338.6","0.0"
"-113.639","50.004","CLARESHOLM","3031640","AB","1.7","0","NA","17.3","0","-16.7","0","","","NA","11.5","0","NA","","4","","","NA","504.9","0.0"
"-114.222","51.076","COP UPPER","3031875","AB","0.8","1","NA","15.2","1","-11.0","1","","","NA","13.3","1","NA","","3","","","NA","516.3","0.0"
"-112.433","50.183","ENCHANT AGDM","3032422","AB","2.4","13","NA","15.5","13","-10.0","13","","","NA","6.8","13","NA","","2","","","NA","280.3","0.0"
"-111.054","49.553","ETZIKOM AGCM","3032450","AB","2.1","12","NA","18.0","12","-10.2","12","","","NA","3.6","12","NA","","1","","","NA","303.0","0.0"
"-112.033","49.800","FINCASTLE AGDM","3032550","AB","2.7","13","NA","17.2","13","-8.7","13","","","NA","8.7","16","NA","","2","","","NA","276.3","0.0"
"-111.486","49.483","FOREMOST AGDM","3032642","AB","2.6","12","NA","17.5","12","-8.3","12","","","NA","5.9","13","NA","","2","","","NA","293.5","0.0"
"-113.379","49.786","FORT MACLEOD AGCM","3032683","AB","3.1","12","NA","14.6","12","-9.4","12","","","NA","4.9","14","NA","","2","","","NA","283.0","0.0"
"-112.941","50.934","GLEICHEN AGCM","3032801","AB","-0.6","12","NA","16.3","12","-13.2","12","","","NA","4.8","12","NA","","2","","","NA","353.2","0.0"
"-111.733","49.874","GRASSY LAKE","3032927","AB","2.4","12","NA","16.9","12","-8.8","12","","","NA","6.0","12","NA","","2","","","NA","295.7","0.0"
"-114.292","50.869","PRIDDIS OBSERVATORY","3033505","AB","0.5","1","NA","16.0","1","-13.9","1","","","NA","19.5","1","NA","","4","","","NA","524.2","0.0"
"-110.261","49.989","IRVINE AGCM","3033550","AB","3.1","12","NA","18.2","12","-10.4","12","","","NA","4.0","12","NA","","1","","","NA","284.0","0.0"
"-113.631","51.191","KEOMA AGCM","3033620","AB","-0.6","12","NA","16.0","12","-15.1","12","","","NA","10.6","14","NA","","3","","","NA","352.6","0.0"
"-112.299","50.600","LATHOM AGCM","3033770","AB","0.1","12","NA","16.6","12","-13.7","12","","","NA","5.2","13","NA","","2","","","NA","339.9","0.0"
"-112.799","49.630","LETHBRIDGE","3033875","AB","1.9","0","NA","16.8","0","-13.0","0","","","NA","4.6","0","NA","","2","","","NA","498.3","0.0"
"-112.763","49.647","LETHBRIDGE AGTECH AGCM","3033877","AB","2.9","12","NA","16.9","12","-10.1","12","","","NA","7.8","13","NA","","2","","","NA","287.6","0.0"
"-112.768","49.695","LETHBRIDGE CDA","3033890","AB","2.8","0","NA","16.2","0","-10.9","0","","","NA","","","NA","","","","","NA","470.0","0.0"
"-112.783","49.700","LETHBRIDGE CDA 2","3033892","AB","","","NA","","","","","3.0","1","NA","15.6","0","NA","0.0","3","","","NA","",""
"-112.750","49.683","LETHBRIDGE DEMO FARM AGDM","3033897","AB","2.9","12","NA","16.6","12","-9.8","12","","","NA","5.3","23","NA","","2","","","NA","286.1","0.0"
"-110.721","50.019","MEDICINE HAT","3034479","AB","1.0","0","NA","18.0","0","-12.1","0","","","NA","0.0","0","NA","","0","","","NA","525.8","0.0"
"-110.717","50.025","MEDICINE HAT RCS","3034485","AB","1.2","0","NA","17.9","0","-12.1","0","","","NA","3.3","0","NA","","1","","","NA","519.9","0.0"
"-113.349","50.673","MOSSLEIGH AGCM","3034577","AB","-0.8","12","NA","16.7","12","-18.2","12","","","NA","11.4","12","NA","","2","","","NA","356.3","0.0"
"-114.099","51.369","NIER AGDM","3034795","AB","0.9","13","NA","14.8","13","-11.6","13","","","NA","9.0","13","NA","","3","","","NA","307.3","0.0"
"-113.997","49.521","PINCHER CREEK","3035198","AB","1.4","0","NA","12.2","0","-15.0","0","","","NA","16.8","0","NA","","2","","","NA","516.0","0.0"
"-114.005","49.522","PINCHER CREEK CLIMATE","3035208","AB","1.4","0","NA","12.1","0","-15.1","0","","","NA","26.4","0","NA","","3","","","NA","513.6","0.0"
"-112.983","50.606","QUEENSTOWN","3035340","AB","0.4","0","6.9","16.5","0","-12.5","0","12.0","0","83.0","14.5","0","97.0","0.0","3","","","NA","545.4","0.0"
"-112.117","50.367","RAINIER AGCM","3035355","AB","0.3","12","NA","16.1","12","-14.7","12","","","NA","5.8","12","NA","","1","","","NA","335.4","0.0"
"-111.213","50.099","RALSTON AGCM","3035362","AB","1.8","13","NA","16.0","13","-9.9","13","","","NA","3.5","13","NA","","2","","","NA","292.3","0.0"
"-112.683","49.483","RAYMOND AGDM","3035422","AB","3.2","12","NA","16.6","12","-8.2","12","","","NA","4.8","13","NA","","2","","","NA","281.8","0.0"
"-111.701","50.265","ROLLING HILLS AGCM","3035530","AB","0.4","12","NA","17.5","12","-13.2","12","","","NA","3.3","13","NA","","2","","","NA","334.9","0.0"
"-112.050","50.833","ROSEMARY AGDM","3035650","AB","-2.0","12","NA","16.7","12","-16.2","12","","","NA","1.6","12","NA","","1","","","NA","380.3","0.0"
"-110.917","49.917","SEVEN PERSONS AGDM","3035845","AB","2.3","12","NA","18.4","12","-9.1","12","","","NA","2.5","12","NA","","1","","","NA","298.3","0.0"
"-110.215","50.732","SOCIAL PLAINS AGCM","3036040","AB","0.4","12","NA","15.5","12","-12.9","12","","","NA","0.8","12","NA","","0","","","NA","335.1","0.0"
"-112.982","51.228","STANDARD AGCM","3036086","AB","0.1","12","NA","14.1","12","-12.3","12","","","NA","5.5","20","NA","","2","","","NA","339.3","0.0"
"-113.883","50.183","STAVELY AAFC","3036099","AB","2.1","0","NA","13.4","0","-9.1","0","","","NA","15.7","0","NA","0.0","4","","","NA","493.9","0.0"
